FIPS,County Name,State,Avg Temperature (°F),Data Points
01001,"AL: Autauga",AL,66.58,12
01003,"AL: Baldwin County",AL,69.82,12
01005,"AL: Barbour County",AL,66.55,12
01007,"AL: Bibb County",AL,64.99,12
01009,"AL: Blount County",AL,63.30,12
01011,"AL: Bullock County",AL,66.07,12
01013,"AL: Butler County",AL,66.98,12
01015,"AL: Calhoun County",AL,63.44,12
01017,"AL: Chambers County",AL,63.07,12
01019,"AL: Cherokee County",AL,62.84,12
01021,"AL: Chilton County",AL,65.20,12
01023,"AL: Choctaw County",AL,67.14,12
01025,"AL: Clarke County",AL,67.34,12
01027,"AL: Clay County",AL,62.93,12
01029,"AL: Cleburne County",AL,62.55,12
01031,"AL: Coffee County",AL,67.39,12
01033,"AL: Colbert County",AL,62.53,12
01035,"AL: Conecuh County",AL,67.42,12
01037,"AL: Coosa County",AL,64.51,12
01039,"AL: Covington County",AL,67.77,12
01041,"AL: Crenshaw County",AL,66.78,12
01043,"AL: Cullman County",AL,62.99,12
01045,"AL: Dale County",AL,67.53,12
01047,"AL: Dallas County",AL,67.04,12
01049,"AL: DeKalb County",AL,61.44,12
01051,"AL: Elmore County",AL,65.91,12
01053,"AL: Escambia County",AL,68.18,12
01055,"AL: Etowah County",AL,63.13,12
01057,"AL: Fayette County",AL,64.06,12
01059,"AL: Franklin County",AL,62.54,12
01061,"AL: Geneva County",AL,68.03,12
01063,"AL: Greene County",AL,65.91,12
01065,"AL: Hale County",AL,65.94,12
01067,"AL: Henry County",AL,67.58,12
01069,"AL: Houston County",AL,68.38,12
01071,"AL: Jackson County",AL,61.71,12
01073,"AL: Jefferson County",AL,64.40,12
01075,"AL: Lamar County",AL,64.55,12
01077,"AL: Lauderdale County",AL,61.82,12
01079,"AL: Lawrence County",AL,62.14,12
01081,"AL: Lee County",AL,64.09,12
01083,"AL: Limestone County",AL,61.95,12
01085,"AL: Lowndes County",AL,67.28,12
01087,"AL: Macon County",AL,65.51,12
01089,"AL: Madison County",AL,62.15,12
01091,"AL: Marengo County",AL,66.81,12
01093,"AL: Marion County",AL,63.32,12
01095,"AL: Marshall County",AL,62.72,12
01097,"AL: Mobile County",AL,69.70,12
01099,"AL: Monroe County",AL,67.45,12
01101,"AL: Montgomery County",AL,66.92,12
01103,"AL: Morgan County",AL,62.64,12
01105,"AL: Perry County",AL,66.03,12
01107,"AL: Pickens County",AL,65.46,12
01109,"AL: Pike County",AL,66.71,12
01111,"AL: Randolph County",AL,62.94,12
01113,"AL: Russell County",AL,65.54,12
01115,"AL: St. Clair County",AL,63.50,12
01117,"AL: Shelby County",AL,64.49,12
01119,"AL: Sumter County",AL,66.37,12
01121,"AL: Talladega County",AL,64.00,12
01123,"AL: Tallapoosa County",AL,63.74,12
01125,"AL: Tuscaloosa County",AL,64.86,12
01127,"AL: Walker County",AL,63.80,12
01129,"AL: Washington County",AL,67.93,12
01131,"AL: Wilcox County",AL,67.28,12
01133,"AL: Winston County",AL,62.44,12
02001,"AZ: Apache County",AZ,50.67,12
02003,"AZ: Cochise County",AZ,62.02,12
02005,"AZ: Coconino County",AZ,52.77,12
02007,"AZ: Gila County",AZ,60.36,12
02009,"AZ: Graham County",AZ,61.90,12
02011,"AZ: Greenlee County",AZ,57.41,12
02012,"AZ: La Paz County",AZ,71.82,12
02013,"AZ: Maricopa County",AZ,71.04,12
02015,"AZ: Mohave County",AZ,62.21,12
02017,"AZ: Navajo County",AZ,52.21,12
02019,"AZ: Pima County",AZ,68.37,12
02021,"AZ: Pinal County",AZ,69.76,12
02023,"AZ: Santa Cruz County",AZ,61.43,12
02025,"AZ: Yavapai County",AZ,59.77,12
02027,"AZ: Yuma County",AZ,72.71,12
03001,"AR: Arkansas County",AR,65.07,12
03003,"AR: Ashley County",AR,66.42,12
03005,"AR: Baxter County",AR,59.80,12
03007,"AR: Benton County",AR,59.74,12
03009,"AR: Boone County",AR,59.27,12
03011,"AR: Bradley County",AR,65.62,12
03013,"AR: Calhoun County",AR,65.04,12
03015,"AR: Carroll County",AR,59.17,12
03017,"AR: Chicot County",AR,66.59,12
03019,"AR: Clark County",AR,63.80,12
