FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID,Note
06003,California,CA,Alpine County,California Non-Metro,2023,1486,1149,1246,1486,1917,2224,0699999999,Estimated from state non-metro area rates
06017,California,CA,El Dorado County,California Non-Metro,2023,1486,1149,1246,1486,1917,2224,0699999999,Estimated from state non-metro area rates
06061,California,CA,Placer County,California Non-Metro,2023,1486,1149,1246,1486,1917,2224,0699999999,Estimated from state non-metro area rates
06067,California,CA,Sacramento County,California Non-Metro,2023,1486,1149,1246,1486,1917,2224,0699999999,Estimated from state non-metro area rates
06073,California,CA,San Diego County,California Non-Metro,2023,1486,1149,1246,1486,1917,2224,0699999999,Estimated from state non-metro area rates
08041,Colorado,CO,El Paso County,Colorado Non-Metro,2023,1099,849,921,1099,1419,1646,0899999999,Estimated from state non-metro area rates
08073,Colorado,CO,Lincoln County,Colorado Non-Metro,2023,1099,849,921,1099,1419,1646,0899999999,Estimated from state non-metro area rates
09110,Connecticut,CT,Capitol Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09120,Connecticut,CT,Greater Bridgeport Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09130,Connecticut,CT,Lower Connecticut River Valley Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09140,Connecticut,CT,Naugatuck Valley Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09150,Connecticut,CT,Northeastern Connecticut Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09160,Connecticut,CT,Northwest Hills Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09170,Connecticut,CT,South Central Connecticut Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09180,Connecticut,CT,Southeastern Connecticut Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
09190,Connecticut,CT,Western Connecticut Planning Region,Connecticut Non-Metro,2023,1228,949,1029,1228,1584,1838,0999999999,Estimated from state non-metro area rates
10003,Delaware,DE,New Castle County,Delaware Non-Metro,2023,1099,849,921,1099,1419,1646,1099999999,Estimated from state non-metro area rates
12009,Florida,FL,Brevard County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12011,Florida,FL,Broward County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12019,Florida,FL,Clay County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12031,Florida,FL,Duval County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12053,Florida,FL,Hernando County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12057,Florida,FL,Hillsborough County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12081,Florida,FL,Manatee County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12089,Florida,FL,Nassau County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
12099,Florida,FL,Palm Beach County,Florida Non-Metro,2023,1099,849,921,1099,1419,1646,1299999999,Estimated from state non-metro area rates
