FIPS,County,State,Population,Year,Total Votes,Democrat Votes,Republican Votes,Democrat %,Republican %,Winner,housing_Median Home Value,housing_% of National Median,housing_Price Category,age_Median Age,temp_Avg Temperature (°F),temp_Data Points,rent_Metro Area,rent_Median Rent,rent_Efficiency,rent_1BR,rent_2BR,rent_3BR,rent_4BR,rent_Entity ID
01001,Autauga County,Alabama,59285,2023,28190,7439,20484,26.39,72.66,Republican,197900,114.9,Moderate,39.2,66.58,12,"Montgomery, AL MSA",977,716,817,977,1241,1595,0100199999
01003,Baldwin County,Alabama,239945,2023,121808,24934,95798,20.47,78.65,Republican,287000,166.6,Expensive,43.7,69.82,12,"Daphne-Fairhope-Foley, AL MSA",1206,924,928,1206,1534,1971,0100399999
01005,Barbour County,Alabama,24757,2023,9832,4158,5606,42.29,57.02,Republican,109900,63.8,Affordable,40.7,66.55,12,"Barbour County, AL",740,558,562,740,941,994,0100599999
01007,Bibb County,Alabama,22152,2023,9241,1619,7572,17.52,81.94,Republican,132600,77.0,Moderate,41.3,64.99,12,"Birmingham-Hoover, AL HUD Metro FMR Area",1075,866,942,1075,1376,1494,0100799999
01009,Blount County,Alabama,59292,2023,28115,2576,25354,9.16,90.18,Republican,169700,98.5,Moderate,40.9,63.30,12,"Birmingham-Hoover, AL HUD Metro FMR Area",1075,866,942,1075,1376,1494,0100999999
01011,Bullock County,Alabama,10157,2023,4106,2983,1101,72.65,26.81,Democrat,79400,46.1,Very Affordable,40.4,66.07,12,"Bullock County, AL",820,620,631,820,999,1229,0101199999
01013,Butler County,Alabama,18807,2023,8467,3251,5172,38.4,61.08,Republican,99700,57.9,Affordable,42.2,66.98,12,"Butler County, AL",761,576,664,761,926,1022,0101399999
01015,Calhoun County,Alabama,116141,2023,48530,13194,34912,27.19,71.94,Republican,149500,86.8,Moderate,39,63.44,12,"Anniston-Oxford-Jacksonville, AL MSA",802,605,609,802,1088,1178,0101599999
01017,Chambers County,Alabama,34450,2023,14221,5405,8711,38.01,61.25,Republican,129700,75.3,Moderate,41.5,63.07,12,"Chambers County, AL",911,688,692,911,1109,1224,0101799999
01019,Cherokee County,Alabama,25224,2023,12984,1553,11358,11.96,87.48,Republican,165900,96.3,Moderate,47.4,62.84,12,"Cherokee County, AL",759,574,584,759,959,1097,0101999999
01021,Chilton County,Alabama,45500,2023,19728,2698,16920,13.68,85.77,Republican,142300,82.6,Moderate,39.5,65.20,12,"Chilton County, AL HUD Metro FMR Area",755,617,634,755,1036,1040,0102199999
01023,Choctaw County,Alabama,12525,2023,6646,2515,4103,37.84,61.74,Republican,111800,64.9,Affordable,47,67.14,12,"Choctaw County, AL",740,560,562,740,921,1260,0102399999
01025,Clarke County,Alabama,22802,2023,11946,4927,6965,41.24,58.3,Republican,126400,73.4,Affordable,42.5,67.34,12,"Clarke County, AL",740,560,573,740,1052,1260,0102599999
01027,Clay County,Alabama,14188,2023,6757,993,5734,14.7,84.86,Republican,144700,84.0,Moderate,43.8,62.93,12,"Clay County, AL",740,520,626,740,1001,1154,0102799999
01029,Cleburne County,Alabama,15254,2023,7637,605,6988,7.92,91.5,Republican,144200,83.7,Moderate,42.3,62.55,12,"Cleburne County, AL",741,561,594,741,966,1110,0102999999
01031,Coffee County,Alabama,54231,2023,22270,4601,17495,20.66,78.56,Republican,180300,104.6,Moderate,38.8,67.39,12,"Coffee County, AL",803,607,625,803,1141,1250,0103199999
01033,Colbert County,Alabama,57648,2023,27086,7137,19714,26.35,72.78,Republican,161600,93.8,Moderate,42.3,62.53,12,"Florence-Muscle Shoals, AL MSA",811,574,617,811,1000,1249,0103399999
01035,Conecuh County,Alabama,11411,2023,6043,2580,3423,42.69,56.64,Republican,101300,58.8,Affordable,46.3,67.42,12,"Conecuh County, AL",740,560,655,740,1008,1109,0103599999
01037,Coosa County,Alabama,10323,2023,5264,1478,3758,28.08,71.39,Republican,111800,64.9,Affordable,50.3,64.51,12,"Coosa County, AL",766,579,589,766,932,1148,0103799999
01039,Covington County,Alabama,37647,2023,17072,2314,14677,13.55,85.97,Republican,142500,82.7,Moderate,42.8,67.77,12,"Covington County, AL",740,558,562,740,986,1214,0103999999
01041,Crenshaw County,Alabama,13144,2023,6480,1457,5000,22.48,77.16,Republican,108400,62.9,Affordable,42.4,66.78,12,"Crenshaw County, AL",740,560,562,740,901,994,0104199999
01043,Cullman County,Alabama,89463,2023,43052,4039,38704,9.38,89.9,Republican,180500,104.8,Moderate,41.1,62.99,12,"Cullman County, AL",815,627,655,815,1097,1125,0104399999
01045,Dale County,Alabama,49516,2023,19103,4484,14476,23.47,75.78,Republican,129100,74.9,Affordable,38,67.53,12,"Dale County, AL",740,633,636,740,1052,1260,0104599999
01047,Dallas County,Alabama,37536,2023,15528,10236,5190,65.92,33.42,Democrat,97400,56.5,Affordable,40.3,67.04,12,"Dallas County, AL",790,597,600,790,961,1061,0104799999
01049,DeKalb County,Alabama,71946,2023,29583,3758,25633,12.7,86.65,Republican,135500,78.6,Moderate,39.6,61.44,12,"DeKalb County, AL",740,560,579,740,1015,1153,0104999999
01051,Elmore County,Alabama,88669,2023,41491,9774,31374,23.56,75.62,Republican,213600,124.0,Moderate,38.9,65.91,12,"Montgomery, AL MSA",977,716,817,977,1241,1595,0105199999
01053,Escambia County,Alabama,36695,2023,14929,3964,10884,26.55,72.91,Republican,122700,71.2,Affordable,40.5,68.18,12,"Escambia County, AL",740,560,606,740,946,1164,0105399999
01055,Etowah County,Alabama,103208,2023,46023,10027,35653,21.79,77.47,Republican,160600,93.2,Moderate,41.8,63.13,12,"Gadsden, AL MSA",769,514,660,769,973,1033,0105599999
01057,Fayette County,Alabama,16173,2023,8356,1142,7158,13.67,85.66,Republican,121200,70.3,Affordable,42.8,64.06,12,"Fayette County, AL",740,560,655,740,924,1109,0105799999
01059,Franklin County,Alabama,31978,2023,12077,1568,10417,12.98,86.25,Republican,128000,74.3,Affordable,38.6,62.54,12,"Franklin County, AL",740,560,655,740,901,1251,0105999999
01061,Geneva County,Alabama,26726,2023,12390,1391,10929,11.23,88.21,Republican,120200,69.8,Affordable,44,68.03,12,"Dothan, AL HUD Metro FMR Area",761,619,622,761,1015,1156,0106199999
01063,Greene County,Alabama,7589,2023,4035,3133,885,77.65,21.93,Democrat,86400,50.1,Affordable,44.4,65.91,12,"Greene County, AL HUD Metro FMR Area",794,623,627,794,966,1067,0106399999
01065,Hale County,Alabama,14749,2023,7290,3868,3369,53.06,46.21,Democrat,126300,73.3,Affordable,41,65.94,12,"Tuscaloosa, AL HUD Metro FMR Area",1018,816,822,1018,1277,1368,0106599999
01067,Henry County,Alabama,17450,2023,9301,2263,6989,24.33,75.14,Republican,147800,85.8,Moderate,45,67.58,12,"Henry County, AL HUD Metro FMR Area",740,558,562,740,985,1001,0106799999
01069,Houston County,Alabama,107628,2023,44195,11352,32469,25.69,73.47,Republican,178000,103.3,Moderate,40.3,68.38,12,"Dothan, AL HUD Metro FMR Area",761,619,622,761,1015,1156,0106999999
01071,Jackson County,Alabama,52839,2023,23509,3276,20073,13.94,85.38,Republican,145800,84.6,Moderate,43.4,61.71,12,"Jackson County, AL",740,560,624,740,901,1247,0107199999
01073,Jefferson County,Alabama,669744,2023,296741,162112,131123,54.63,44.19,Democrat,224900,130.5,Moderate,37.8,64.40,12,"Birmingham-Hoover, AL HUD Metro FMR Area",1075,866,942,1075,1376,1494,0107399999
01075,Lamar County,Alabama,13809,2023,6875,806,6033,11.72,87.75,Republican,112700,65.4,Affordable,44.5,64.55,12,"Lamar County, AL",740,560,613,740,1011,1109,0107599999
01077,Lauderdale County,Alabama,95037,2023,43454,10326,32708,23.76,75.27,Republican,185800,107.8,Moderate,40.7,61.82,12,"Florence-Muscle Shoals, AL MSA",811,574,617,811,1000,1249,0107799999
01079,Lawrence County,Alabama,33182,2023,16115,2983,13024,18.51,80.82,Republican,150700,87.5,Moderate,42.8,62.14,12,"Decatur, AL MSA",795,623,651,795,1038,1151,0107999999
01081,Lee County,Alabama,177663,2023,72695,25798,46020,35.49,63.31,Republican,238700,138.5,Moderate,33.6,64.09,12,"Auburn-Opelika, AL MSA",992,722,774,992,1327,1393,0108199999
