FIPS,County,State,Total Votes,Democrat Votes,Republican Votes,Democrat %,Republican %,Winner
01001,"Autauga County",Alabama,28190,7439,20484,26.39,72.66,Republican
01003,"Baldwin County",Alabama,121808,24934,95798,20.47,78.65,Republican
01005,"Barbour County",Alabama,9832,4158,5606,42.29,57.02,Republican
01007,"Bibb County",Alabama,9241,1619,7572,17.52,81.94,Republican
01009,"Blount County",Alabama,28115,2576,25354,9.16,90.18,Republican
01011,"Bullock County",Alabama,4106,2983,1101,72.65,26.81,Democrat
01013,"Butler County",Alabama,8467,3251,5172,38.4,61.08,Republican
01015,"Calhoun County",Alabama,48530,13194,34912,27.19,71.94,Republican
01017,"Chambers County",Alabama,14221,5405,8711,38.01,61.25,Republican
01019,"Cherokee County",Alabama,12984,1553,11358,11.96,87.48,Republican
01021,"Chilton County",Alabama,19728,2698,16920,13.68,85.77,Republican
01023,"Choctaw County",Alabama,6646,2515,4103,37.84,61.74,Republican
01025,"Clarke County",Alabama,11946,4927,6965,41.24,58.3,Republican
01027,"Clay County",Alabama,6757,993,5734,14.7,84.86,Republican
01029,"Cleburne County",Alabama,7637,605,6988,7.92,91.5,Republican
01031,"Coffee County",Alabama,22270,4601,17495,20.66,78.56,Republican
01033,"Colbert County",Alabama,27086,7137,19714,26.35,72.78,Republican
01035,"Conecuh County",Alabama,6043,2580,3423,42.69,56.64,Republican
01037,"Coosa County",Alabama,5264,1478,3758,28.08,71.39,Republican
01039,"Covington County",Alabama,17072,2314,14677,13.55,85.97,Republican
01041,"Crenshaw County",Alabama,6480,1457,5000,22.48,77.16,Republican
01043,"Cullman County",Alabama,43052,4039,38704,9.38,89.9,Republican
01045,"Dale County",Alabama,19103,4484,14476,23.47,75.78,Republican
01047,"Dallas County",Alabama,15528,10236,5190,65.92,33.42,Democrat
01049,"DeKalb County",Alabama,29583,3758,25633,12.7,86.65,Republican
01051,"Elmore County",Alabama,41491,9774,31374,23.56,75.62,Republican
01053,"Escambia County",Alabama,14929,3964,10884,26.55,72.91,Republican
01055,"Etowah County",Alabama,46023,10027,35653,21.79,77.47,Republican
01057,"Fayette County",Alabama,8356,1142,7158,13.67,85.66,Republican
01059,"Franklin County",Alabama,12077,1568,10417,12.98,86.25,Republican
01061,"Geneva County",Alabama,12390,1391,10929,11.23,88.21,Republican
01063,"Greene County",Alabama,4035,3133,885,77.65,21.93,Democrat
01065,"Hale County",Alabama,7290,3868,3369,53.06,46.21,Democrat
01067,"Henry County",Alabama,9301,2263,6989,24.33,75.14,Republican
01069,"Houston County",Alabama,44195,11352,32469,25.69,73.47,Republican
01071,"Jackson County",Alabama,23509,3276,20073,13.94,85.38,Republican
01073,"Jefferson County",Alabama,296741,162112,131123,54.63,44.19,Democrat
01075,"Lamar County",Alabama,6875,806,6033,11.72,87.75,Republican
01077,"Lauderdale County",Alabama,43454,10326,32708,23.76,75.27,Republican
01079,"Lawrence County",Alabama,16115,2983,13024,18.51,80.82,Republican
01081,"Lee County",Alabama,72695,25798,46020,35.49,63.31,Republican
01083,"Limestone County",Alabama,53096,14581,37887,27.46,71.36,Republican
01085,"Lowndes County",Alabama,5652,3867,1758,68.42,31.1,Democrat
01087,"Macon County",Alabama,7820,6084,1682,77.8,21.51,Democrat
01089,"Madison County",Alabama,196355,87824,105430,44.73,53.69,Republican
01091,"Marengo County",Alabama,9673,4631,4995,47.88,51.64,Republican
