FIPS,County Name,State,State FIPS,County FIPS,Population,Year
01001,"Autauga County, Alabama",Alabama,01,001,59285,2023
01003,"Baldwin County, Alabama",Alabama,01,003,239945,2023
01005,"Barbour County, Alabama",Alabama,01,005,24757,2023
01007,"Bibb County, Alabama",Alabama,01,007,22152,2023
01009,"Blount County, Alabama",Alabama,01,009,59292,2023
01011,"Bullock County, Alabama",Alabama,01,011,10157,2023
01013,"Butler County, Alabama",Alabama,01,013,18807,2023
01015,"Calhoun County, Alabama",Alabama,01,015,116141,2023
01017,"Chambers County, Alabama",Alabama,01,017,34450,2023
01019,"Cherokee County, Alabama",Alabama,01,019,25224,2023
01021,"Chilton County, Alabama",Alabama,01,021,45500,2023
01023,"Choctaw County, Alabama",Alabama,01,023,12525,2023
01025,"Clarke County, Alabama",Alabama,01,025,22802,2023
01027,"Clay County, Alabama",Alabama,01,027,14188,2023
01029,"Cleburne County, Alabama",Alabama,01,029,15254,2023
01031,"Coffee County, Alabama",Alabama,01,031,54231,2023
01033,"Colbert County, Alabama",Alabama,01,033,57648,2023
01035,"Conecuh County, Alabama",Alabama,01,035,11411,2023
01037,"Coosa County, Alabama",Alabama,01,037,10323,2023
01039,"Covington County, Alabama",Alabama,01,039,37647,2023
01041,"Crenshaw County, Alabama",Alabama,01,041,13144,2023
01043,"Cullman County, Alabama",Alabama,01,043,89463,2023
01045,"Dale County, Alabama",Alabama,01,045,49516,2023
01047,"Dallas County, Alabama",Alabama,01,047,37536,2023
01049,"DeKalb County, Alabama",Alabama,01,049,71946,2023
01051,"Elmore County, Alabama",Alabama,01,051,88669,2023
01053,"Escambia County, Alabama",Alabama,01,053,36695,2023
01055,"Etowah County, Alabama",Alabama,01,055,103208,2023
01057,"Fayette County, Alabama",Alabama,01,057,16173,2023
01059,"Franklin County, Alabama",Alabama,01,059,31978,2023
01061,"Geneva County, Alabama",Alabama,01,061,26726,2023
01063,"Greene County, Alabama",Alabama,01,063,7589,2023
01065,"Hale County, Alabama",Alabama,01,065,14749,2023
01067,"Henry County, Alabama",Alabama,01,067,17450,2023
01069,"Houston County, Alabama",Alabama,01,069,107628,2023
01071,"Jackson County, Alabama",Alabama,01,071,52839,2023
01073,"Jefferson County, Alabama",Alabama,01,073,669744,2023
01075,"Lamar County, Alabama",Alabama,01,075,13809,2023
01077,"Lauderdale County, Alabama",Alabama,01,077,95037,2023
01079,"Lawrence County, Alabama",Alabama,01,079,33182,2023
01081,"Lee County, Alabama",Alabama,01,081,177663,2023
01083,"Limestone County, Alabama",Alabama,01,083,107577,2023
01085,"Lowndes County, Alabama",Alabama,01,085,10008,2023
01087,"Macon County, Alabama",Alabama,01,087,18951,2023
01089,"Madison County, Alabama",Alabama,01,089,397135,2023
01091,"Marengo County, Alabama",Alabama,01,091,19027,2023
01093,"Marion County, Alabama",Alabama,01,093,29190,2023
01095,"Marshall County, Alabama",Alabama,01,095,98712,2023
01097,"Mobile County, Alabama",Alabama,01,097,413162,2023
01099,"Monroe County, Alabama",Alabama,01,099,19580,2023
01101,"Montgomery County, Alabama",Alabama,01,101,227197,2023
01103,"Morgan County, Alabama",Alabama,01,103,123742,2023
01105,"Perry County, Alabama",Alabama,01,105,8231,2023
01107,"Pickens County, Alabama",Alabama,01,107,18843,2023
01109,"Pike County, Alabama",Alabama,01,109,32953,2023
