FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID
"06000","California","CA","Santa Cruz County","Santa Cruz-Watsonville, CA MSA",2023,3293,2212,2502,3293,4077,4568,"0608799999"
"06000","California","CA","Marin County","San Francisco, CA HUD Metro FMR Area",2023,3188,2156,2665,3188,3912,4283,"0604199999"
"06000","California","CA","San Francisco County","San Francisco, CA HUD Metro FMR Area",2023,3188,2156,2665,3188,3912,4283,"0607599999"
"06000","California","CA","San Mateo County","San Francisco, CA HUD Metro FMR Area",2023,3188,2156,2665,3188,3912,4283,"0608199999"
"06000","California","CA","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",2023,2941,2223,2513,2941,3750,4202,"0608599999"
"06000","California","CA","Monterey County","Salinas, CA MSA",2023,2675,2112,2194,2675,3790,4144,"0605399999"
"06000","California","CA","Santa Barbara County","Santa Maria-Santa Barbara, CA MSA",2023,2667,2040,2350,2667,3520,4001,"0608399999"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501700380"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500901260"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501701605"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501701955"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501702130"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501703005"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501704615"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502104930"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501705070"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500905595"
"25000","Massachusetts","MA","Suffolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502507000"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501707350"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502107740"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502109175"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501709840"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501711000"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502111315"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501711525"
"25000","Massachusetts","MA","Suffolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502513205"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502114640"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501715060"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500916250"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502116495"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502117405"
