FIPS,County,State,Median Home Value,% of National Median,Price Category
06081,"San Mateo County","California",1494500,867.4,Very Expensive
06041,"Marin County","California",1390000,806.7,Very Expensive
25019,"Nantucket County","Massachusetts",1387000,805.0,Very Expensive
06085,"Santa Clara County","California",1382800,802.6,Very Expensive
06075,"San Francisco County","California",1380500,801.2,Very Expensive
56039,"Teton County","Wyoming",1371900,796.2,Very Expensive
08097,"Pitkin County","Colorado",1131200,656.5,Very Expensive
36061,"New York County","New York",1108900,643.6,Very Expensive
25007,"Dukes County","Massachusetts",1104100,640.8,Very Expensive
06001,"Alameda County","California",1057400,613.7,Very Expensive
06087,"Santa Cruz County","California",1015200,589.2,Very Expensive
51610,"Falls Church city","Virginia",1005400,583.5,Very Expensive
49043,"Summit County","Utah",1000400,580.6,Very Expensive
06059,"Orange County","California",915500,531.3,Very Expensive
36047,"Kings County","New York",889700,516.4,Very Expensive
15003,"Honolulu County","Hawaii",873000,506.7,Very Expensive
51013,"Arlington County","Virginia",864800,501.9,Very Expensive
15009,"Maui County","Hawaii",858600,498.3,Very Expensive
08117,"Summit County","Colorado",850700,493.7,Very Expensive
06055,"Napa County","California",838800,486.8,Very Expensive
06013,"Contra Costa County","California",830800,482.2,Very Expensive
15007,"Kauai County","Hawaii",817900,474.7,Very Expensive
08037,"Eagle County","Colorado",814700,472.8,Very Expensive
53033,"King County","Washington",811200,470.8,Very Expensive
06073,"San Diego County","California",791600,459.4,Very Expensive
06037,"Los Angeles County","California",783300,454.6,Very Expensive
06097,"Sonoma County","California",779000,452.1,Very Expensive
06079,"San Luis Obispo County","California",777200,451.1,Very Expensive
06111,"Ventura County","California",768400,446.0,Very Expensive
08107,"Routt County","Colorado",756200,438.9,Very Expensive
06069,"San Benito County","California",751500,436.2,Very Expensive
06083,"Santa Barbara County","California",735700,427.0,Very Expensive
53055,"San Juan County","Washington",726500,421.6,Very Expensive
11001,"District of Columbia","District of Columbia",724600,420.5,Very Expensive
49051,"Wasatch County","Utah",724400,420.4,Very Expensive
12087,"Monroe County","Florida",723800,420.1,Very Expensive
06053,"Monterey County","California",723100,419.7,Very Expensive
08013,"Boulder County","Colorado",713900,414.3,Very Expensive
51107,"Loudoun County","Virginia",701000,406.8,Very Expensive
51059,"Fairfax County","Virginia",699700,406.1,Very Expensive
36081,"Queens County","New York",699200,405.8,Very Expensive
51510,"Alexandria city","Virginia",696800,404.4,Very Expensive
25017,"Middlesex County","Massachusetts",687200,398.8,Very Expensive
25025,"Suffolk County","Massachusetts",680700,395.1,Very Expensive
51600,"Fairfax city","Virginia",677400,393.2,Very Expensive
08035,"Douglas County","Colorado",674000,391.2,Very Expensive
47187,"Williamson County","Tennessee",673700,391.0,Very Expensive
08091,"Ouray County","Colorado",670100,388.9,Very Expensive
08039,"Elbert County","Colorado",664600,385.7,Very Expensive
16013,"Blaine County","Idaho",663800,385.3,Very Expensive
06061,"Placer County","California",658800,382.4,Very Expensive
36059,"Nassau County","New York",658700,382.3,Very Expensive
36085,"Richmond County","New York",658500,382.2,Very Expensive
25021,"Norfolk County","Massachusetts",649400,376.9,Very Expensive
53061,"Snohomish County","Washington",644600,374.1,Very Expensive
06017,"El Dorado County","California",640500,371.7,Very Expensive
36119,"Westchester County","New York",638400,370.5,Very Expensive
08014,"Broomfield County","Colorado",631600,366.6,Very Expensive
09190,"Western Connecticut Planning Region","Connecticut",625400,363.0,Very Expensive
24031,"Montgomery County","Maryland",615200,357.1,Very Expensive
08113,"San Miguel County","Colorado",613100,355.8,Very Expensive
30031,"Gallatin County","Montana",604900,351.1,Very Expensive
08059,"Jefferson County","Colorado",604400,350.8,Very Expensive
06057,"Nevada County","California",602800,349.9,Very Expensive
49029,"Morgan County","Utah",600900,348.8,Very Expensive
16085,"Valley County","Idaho",599500,347.9,Very Expensive
08015,"Chaffee County","Colorado",598500,347.4,Very Expensive
08051,"Gunnison County","Colorado",597200,346.6,Very Expensive
41017,"Deschutes County","Oregon",596000,345.9,Very Expensive
16081,"Teton County","Idaho",595900,345.9,Very Expensive
