FIPS,County Name,State,State FIPS,County FIPS,Median Age
01001,"Autauga County, Alabama",Alabama,01,001,39.2
01003,"Baldwin County, Alabama",Alabama,01,003,43.7
01005,"Barbour County, Alabama",Alabama,01,005,40.7
01007,"Bibb County, Alabama",Alabama,01,007,41.3
01009,"Blount County, Alabama",Alabama,01,009,40.9
01011,"Bullock County, Alabama",Alabama,01,011,40.4
01013,"Butler County, Alabama",Alabama,01,013,42.2
01015,"Calhoun County, Alabama",Alabama,01,015,39
01017,"Chambers County, Alabama",Alabama,01,017,41.5
01019,"Cherokee County, Alabama",Alabama,01,019,47.4
01021,"Chilton County, Alabama",Alabama,01,021,39.5
01023,"Choctaw County, Alabama",Alabama,01,023,47
01025,"Clarke County, Alabama",Alabama,01,025,42.5
01027,"Clay County, Alabama",Alabama,01,027,43.8
01029,"Cleburne County, Alabama",Alabama,01,029,42.3
01031,"Coffee County, Alabama",Alabama,01,031,38.8
01033,"Colbert County, Alabama",Alabama,01,033,42.3
01035,"Conecuh County, Alabama",Alabama,01,035,46.3
01037,"Coosa County, Alabama",Alabama,01,037,50.3
01039,"Covington County, Alabama",Alabama,01,039,42.8
01041,"Crenshaw County, Alabama",Alabama,01,041,42.4
01043,"Cullman County, Alabama",Alabama,01,043,41.1
01045,"Dale County, Alabama",Alabama,01,045,38
01047,"Dallas County, Alabama",Alabama,01,047,40.3
01049,"DeKalb County, Alabama",Alabama,01,049,39.6
01051,"Elmore County, Alabama",Alabama,01,051,38.9
01053,"Escambia County, Alabama",Alabama,01,053,40.5
01055,"Etowah County, Alabama",Alabama,01,055,41.8
01057,"Fayette County, Alabama",Alabama,01,057,42.8
01059,"Franklin County, Alabama",Alabama,01,059,38.6
01061,"Geneva County, Alabama",Alabama,01,061,44
01063,"Greene County, Alabama",Alabama,01,063,44.4
01065,"Hale County, Alabama",Alabama,01,065,41
01067,"Henry County, Alabama",Alabama,01,067,45
01069,"Houston County, Alabama",Alabama,01,069,40.3
01071,"Jackson County, Alabama",Alabama,01,071,43.4
01073,"Jefferson County, Alabama",Alabama,01,073,37.8
01075,"Lamar County, Alabama",Alabama,01,075,44.5
01077,"Lauderdale County, Alabama",Alabama,01,077,40.7
01079,"Lawrence County, Alabama",Alabama,01,079,42.8
01081,"Lee County, Alabama",Alabama,01,081,33.6
01083,"Limestone County, Alabama",Alabama,01,083,40.5
01085,"Lowndes County, Alabama",Alabama,01,085,42.7
01087,"Macon County, Alabama",Alabama,01,087,37.8
01089,"Madison County, Alabama",Alabama,01,089,38.2
01091,"Marengo County, Alabama",Alabama,01,091,41.1
01093,"Marion County, Alabama",Alabama,01,093,43.8
01095,"Marshall County, Alabama",Alabama,01,095,38.6
01097,"Mobile County, Alabama",Alabama,01,097,38.4
01099,"Monroe County, Alabama",Alabama,01,099,43.9
01101,"Montgomery County, Alabama",Alabama,01,101,36.9
01103,"Morgan County, Alabama",Alabama,01,103,40.3
01105,"Perry County, Alabama",Alabama,01,105,42.5
01107,"Pickens County, Alabama",Alabama,01,107,42.5
01109,"Pike County, Alabama",Alabama,01,109,31.7
01111,"Randolph County, Alabama",Alabama,01,111,44
01113,"Russell County, Alabama",Alabama,01,113,37.2
01115,"St. Clair County, Alabama",Alabama,01,115,41
01117,"Shelby County, Alabama",Alabama,01,117,40
01119,"Sumter County, Alabama",Alabama,01,119,34.9
01121,"Talladega County, Alabama",Alabama,01,121,42.2
01123,"Tallapoosa County, Alabama",Alabama,01,123,45.4
01125,"Tuscaloosa County, Alabama",Alabama,01,125,33
01127,"Walker County, Alabama",Alabama,01,127,41.3
01129,"Washington County, Alabama",Alabama,01,129,44.1
01131,"Wilcox County, Alabama",Alabama,01,131,42
01133,"Winston County, Alabama",Alabama,01,133,45.3
02013,"Aleutians East Borough, Alaska",Alaska,02,013,41.8
02016,"Aleutians West Census Area, Alaska",Alaska,02,016,39.1
02020,"Anchorage Municipality, Alaska",Alaska,02,020,34.9
02050,"Bethel Census Area, Alaska",Alaska,02,050,28.7
02060,"Bristol Bay Borough, Alaska",Alaska,02,060,39.3
02063,"Chugach Census Area, Alaska",Alaska,02,063,38.4
02066,"Copper River Census Area, Alaska",Alaska,02,066,45.5
02068,"Denali Borough, Alaska",Alaska,02,068,44.1
02070,"Dillingham Census Area, Alaska",Alaska,02,070,30.9
02090,"Fairbanks North Star Borough, Alaska",Alaska,02,090,32.4
02100,"Haines Borough, Alaska",Alaska,02,100,52.4
02105,"Hoonah-Angoon Census Area, Alaska",Alaska,02,105,51.4
02110,"Juneau City and Borough, Alaska",Alaska,02,110,39.8
02122,"Kenai Peninsula Borough, Alaska",Alaska,02,122,41.5
02130,"Ketchikan Gateway Borough, Alaska",Alaska,02,130,40.8
02150,"Kodiak Island Borough, Alaska",Alaska,02,150,35.4
02158,"Kusilvak Census Area, Alaska",Alaska,02,158,23.6
02164,"Lake and Peninsula Borough, Alaska",Alaska,02,164,33.4
02170,"Matanuska-Susitna Borough, Alaska",Alaska,02,170,36.6
02180,"Nome Census Area, Alaska",Alaska,02,180,29.4
02185,"North Slope Borough, Alaska",Alaska,02,185,35.2
02188,"Northwest Arctic Borough, Alaska",Alaska,02,188,28.3
02195,"Petersburg Borough, Alaska",Alaska,02,195,45.7
02198,"Prince of Wales-Hyder Census Area, Alaska",Alaska,02,198,43.7
02220,"Sitka City and Borough, Alaska",Alaska,02,220,39.6
02230,"Skagway Municipality, Alaska",Alaska,02,230,42.5
02240,"Southeast Fairbanks Census Area, Alaska",Alaska,02,240,37.9
02275,"Wrangell City and Borough, Alaska",Alaska,02,275,44.3
02282,"Yakutat City and Borough, Alaska",Alaska,02,282,53.2
02290,"Yukon-Koyukuk Census Area, Alaska",Alaska,02,290,37.3
04001,"Apache County, Arizona",Arizona,04,001,36.2
04003,"Cochise County, Arizona",Arizona,04,003,42.9
04005,"Coconino County, Arizona",Arizona,04,005,32.4
04007,"Gila County, Arizona",Arizona,04,007,51.4
04009,"Graham County, Arizona",Arizona,04,009,34.4
04011,"Greenlee County, Arizona",Arizona,04,011,36.1
04012,"La Paz County, Arizona",Arizona,04,012,59.7
04013,"Maricopa County, Arizona",Arizona,04,013,37.5
04015,"Mohave County, Arizona",Arizona,04,015,53.2
04017,"Navajo County, Arizona",Arizona,04,017,39.4
04019,"Pima County, Arizona",Arizona,04,019,39.7
04021,"Pinal County, Arizona",Arizona,04,021,40.3
04023,"Santa Cruz County, Arizona",Arizona,04,023,37.9
04025,"Yavapai County, Arizona",Arizona,04,025,55
04027,"Yuma County, Arizona",Arizona,04,027,35.8
05001,"Arkansas County, Arkansas",Arkansas,05,001,41
05003,"Ashley County, Arkansas",Arkansas,05,003,42.7
05005,"Baxter County, Arkansas",Arkansas,05,005,51.9
05007,"Benton County, Arkansas",Arkansas,05,007,35.8
05009,"Boone County, Arkansas",Arkansas,05,009,41.3
05011,"Bradley County, Arkansas",Arkansas,05,011,38.5
05013,"Calhoun County, Arkansas",Arkansas,05,013,44.8
05015,"Carroll County, Arkansas",Arkansas,05,015,44.7
05017,"Chicot County, Arkansas",Arkansas,05,017,42.9
05019,"Clark County, Arkansas",Arkansas,05,019,31.9
05021,"Clay County, Arkansas",Arkansas,05,021,42.6
05023,"Cleburne County, Arkansas",Arkansas,05,023,49.5
05025,"Cleveland County, Arkansas",Arkansas,05,025,43.7
05027,"Columbia County, Arkansas",Arkansas,05,027,34.5
05029,"Conway County, Arkansas",Arkansas,05,029,42.6
05031,"Craighead County, Arkansas",Arkansas,05,031,34.5
05033,"Crawford County, Arkansas",Arkansas,05,033,39.1
05035,"Crittenden County, Arkansas",Arkansas,05,035,36
05037,"Cross County, Arkansas",Arkansas,05,037,40.6
05039,"Dallas County, Arkansas",Arkansas,05,039,44.5
05041,"Desha County, Arkansas",Arkansas,05,041,41.2
05043,"Drew County, Arkansas",Arkansas,05,043,37.7
05045,"Faulkner County, Arkansas",Arkansas,05,045,34
05047,"Franklin County, Arkansas",Arkansas,05,047,42.4
05049,"Fulton County, Arkansas",Arkansas,05,049,48.6
05051,"Garland County, Arkansas",Arkansas,05,051,45.3
05053,"Grant County, Arkansas",Arkansas,05,053,40.2
05055,"Greene County, Arkansas",Arkansas,05,055,37.8
05057,"Hempstead County, Arkansas",Arkansas,05,057,41.1
05059,"Hot Spring County, Arkansas",Arkansas,05,059,43
05061,"Howard County, Arkansas",Arkansas,05,061,39.4
05063,"Independence County, Arkansas",Arkansas,05,063,39
05065,"Izard County, Arkansas",Arkansas,05,065,47.5
05067,"Jackson County, Arkansas",Arkansas,05,067,40.4
05069,"Jefferson County, Arkansas",Arkansas,05,069,39.5
05071,"Johnson County, Arkansas",Arkansas,05,071,39.4
05073,"Lafayette County, Arkansas",Arkansas,05,073,48.5
05075,"Lawrence County, Arkansas",Arkansas,05,075,39.8
05077,"Lee County, Arkansas",Arkansas,05,077,41.9
05079,"Lincoln County, Arkansas",Arkansas,05,079,40.1
05081,"Little River County, Arkansas",Arkansas,05,081,42.2
05083,"Logan County, Arkansas",Arkansas,05,083,43.8
05085,"Lonoke County, Arkansas",Arkansas,05,085,37.3
05087,"Madison County, Arkansas",Arkansas,05,087,41.2
05089,"Marion County, Arkansas",Arkansas,05,089,51.9
05091,"Miller County, Arkansas",Arkansas,05,091,39
05093,"Mississippi County, Arkansas",Arkansas,05,093,36.9
05095,"Monroe County, Arkansas",Arkansas,05,095,45.5
05097,"Montgomery County, Arkansas",Arkansas,05,097,50.8
05099,"Nevada County, Arkansas",Arkansas,05,099,44.2
05101,"Newton County, Arkansas",Arkansas,05,101,48.9
05103,"Ouachita County, Arkansas",Arkansas,05,103,44
05105,"Perry County, Arkansas",Arkansas,05,105,44.1
05107,"Phillips County, Arkansas",Arkansas,05,107,39.9
05109,"Pike County, Arkansas",Arkansas,05,109,42.8
05111,"Poinsett County, Arkansas",Arkansas,05,111,39.8
05113,"Polk County, Arkansas",Arkansas,05,113,44.4
05115,"Pope County, Arkansas",Arkansas,05,115,36.7
05117,"Prairie County, Arkansas",Arkansas,05,117,45.8
05119,"Pulaski County, Arkansas",Arkansas,05,119,37.5
05121,"Randolph County, Arkansas",Arkansas,05,121,39.3
05123,"St. Francis County, Arkansas",Arkansas,05,123,39.7
05125,"Saline County, Arkansas",Arkansas,05,125,40.4
05127,"Scott County, Arkansas",Arkansas,05,127,42.4
05129,"Searcy County, Arkansas",Arkansas,05,129,48.5
05131,"Sebastian County, Arkansas",Arkansas,05,131,38
